Петербург шаг за шагом	192140734
ღ♥ღМЫ любители сериала "Танйны Смолвиля"ღ♥ღ	4181080
======================== ▀▄ReSpEkT▀▄RePeRs▀▄ ========================	8997171
Прогулки по Питеру	70892477
Молодая Гвардия Единой России МО №72	133976503
Клуб любителей Rap & Hip-Hop	12865604
КЛЮЧ от непарадного Петербурга	36493172
PMG HearthStone Taverne Санкт-Петербург	86128132
От недавних выпускников студентам НГУ	67548335
#УвижуВсе	116074190
У метро Владимирская | Достоевская | СПб	113620452
Питер ТВ [Piter TV]	40060294
Куда пойти, куда податься..?	1485249
СЕМИНАРЫ ДЛЯ ПРОФЕССИОНАЛОВ	150057331
guide4you (экскурсии, бронирование: хостелы, отели СПБ; бары, рестораны, музеи, досуг и отдых в Санкт-Петербурге)	27645177
Художественная фотосъёмка. Алисия Челини.	9876483
Аренда Питер Квартиры посуточно СПБ Акции	112558506
Flirt-party это 20 свиданий за 1 вечер	49952586
•••● ВИКТОРИЯ БОНЯ ● VICTORIA BONYA ®™ ●•••	27988145
~ Иркутский ночной велозаезд ~	11612588
NeТОТ Питер: St Petersburg 2011!	30834886
Съемки ТФП С-Петербург. Фотосессия Питер.	71481577
Интересные места Петербурга	3632927
IQПитер	155157650
KANG DANIEL💙 OPEN UP	152637856
В Питере-пить!Экскурсия по городу.	189926034
ФаНаТы ЖуРнАлА *BRAVO*	1940826
ОФК Группы "Ранетки" Лен.обл. "Ranetki pozitiv"	12501206
Клуб  неравнодушных людей.	110090378
ВИЛЯ:"Базовая  техника: секреты тела"	62407618
ДЖАЗОВЫЕ ВЕЧЕРА	29853193
Свадьба Питер (у сообщества новый адрес)	134184568
"СПЕШИ ЛЮБИИТЬ"	6069254
P_hotosoflife365	162441966
"Танцуя Жизнь"	102903151
Питер Он-лайн	122325663
♥♥♥Тут все,кто любит Gufа и Айзочку!!! И все что с ними связано...♥♥♥	8903957
Оздоровительный Бег с Баней. Занятия. Питер.	27289432
Общество любителей Масяни:)))	5350772
У метро Площадь Александра Невского | СПб	117543309
У метро Юго-Западная (Казаковская) | СПб	160766161
ФИТНЕС КЛУБЫ САНКТ-ПЕТЕРБУРГА	1180427
У метро Обухово | СПб	187610765
★★ Cамые стильные и модные ★★  ★★Любители клубной жизни ★★	10632778
